,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cherskiy,68.75,161.3,-6.97,79,79,3.71,RU,1612592218
1,rikitea,-23.1203,-134.9692,77.58,75,23,16.49,PF,1612592219
2,port blair,11.6667,92.75,83.03,64,0,12.1,IN,1612592219
3,punta arenas,-53.15,-70.9167,44.6,65,40,8.05,CL,1612592220
4,tautira,-17.7333,-149.15,80.6,69,40,3.44,PF,1612591631
5,butaritari,3.0707,172.7902,79.41,87,99,17.29,KI,1612592221
6,severo-kurilsk,50.6789,156.125,16.39,83,54,11.36,RU,1612592198
7,ushuaia,-54.8,-68.3,41.0,87,40,20.71,AR,1612592194
8,agadez,19.75,10.25,56.97,34,0,6.6,NE,1612592223
9,aklavik,68.2191,-135.0107,-18.4,76,28,3.44,CA,1612592224
10,kapaa,22.0752,-159.319,64.4,72,1,8.05,US,1612591996
11,lasa,46.6166,10.7002,39.0,93,90,5.75,IT,1612592225
12,atar,20.5169,-13.0499,52.03,72,100,7.02,MR,1612592171
13,busselton,-33.65,115.3333,69.01,57,100,1.01,AU,1612592225
14,juneau,58.3019,-134.4197,28.0,80,90,4.97,US,1612592044
15,faya,18.3851,42.4509,55.4,76,75,9.22,SA,1612592226
16,zonguldak,41.25,31.8333,44.67,59,47,5.97,TR,1612592226
17,carnarvon,-24.8667,113.6333,86.0,100,89,24.16,AU,1612592227
18,caravelas,-17.7125,-39.2481,78.87,80,100,11.79,BR,1612591958
19,yichang,30.7144,111.2847,57.0,62,12,3.0,CN,1612592227
20,cape town,-33.9258,18.4232,72.0,88,40,16.11,ZA,1612592228
21,east london,-33.0153,27.9116,73.4,94,90,5.75,ZA,1612592229
22,kenai,60.5544,-151.2583,14.0,92,20,2.8,US,1612592229
23,buin,-33.7333,-70.75,66.0,94,0,8.05,CL,1612592229
24,cidreira,-30.1811,-50.2056,65.84,78,11,9.93,BR,1612592230
25,jamestown,42.097,-79.2353,21.0,93,90,12.66,US,1612592230
26,codrington,-38.2667,141.9667,68.99,57,3,21.63,AU,1612592230
27,ambon,-3.6954,128.1814,89.6,58,40,10.36,ID,1612592071
28,cayenne,4.9333,-52.3333,78.8,89,90,8.05,GF,1612592231
29,mehamn,71.0357,27.8492,25.74,92,99,17.81,NO,1612592231
30,bluff,-46.6,168.3333,59.0,81,26,10.36,NZ,1612592232
31,cabo san lucas,22.8909,-109.9124,64.99,44,10,5.53,MX,1612591957
32,ouallam,14.3188,2.0866,68.61,22,6,11.45,NE,1612592232
33,provideniya,64.3833,-173.3,9.37,93,98,3.42,RU,1612592232
34,saint-philippe,-21.3585,55.7679,86.0,62,0,6.91,RE,1612592124
35,manavalakurichi,8.1333,77.3,87.8,58,20,3.44,IN,1612592233
36,mataura,-46.1927,168.8643,70.84,55,46,4.07,NZ,1612592233
37,albany,42.6001,-73.9662,30.2,80,75,9.22,US,1612592234
38,vila franca do campo,37.7167,-25.4333,57.2,82,75,8.05,PT,1612592234
39,dingle,10.9995,122.6711,85.15,69,52,14.07,PH,1612592234
40,gewane,10.1664,40.6453,71.87,59,19,5.06,ET,1612592235
41,pisco,-13.7,-76.2167,69.8,94,0,3.44,PE,1612592235
42,makaha,21.4694,-158.2175,68.0,82,1,7.23,US,1612592235
43,shimoda,34.6667,138.95,60.8,48,0,18.41,JP,1612592235
44,beira,-19.8436,34.8389,84.2,89,75,8.05,MZ,1612592236
45,visnes,59.3556,5.2242,26.01,63,4,10.36,NO,1612592236
46,kavaratti,10.5669,72.642,80.49,76,30,14.0,IN,1612592236
47,bengkulu,-3.8004,102.2655,86.13,62,62,10.6,ID,1612592236
48,ponta do sol,32.6667,-17.1,52.0,68,57,1.99,PT,1612592236
49,atuona,-9.8,-139.0333,79.59,81,62,21.56,PF,1612592198
50,puerto ayora,-0.7393,-90.3518,75.0,96,12,8.34,EC,1612592237
51,bredasdorp,-34.5322,20.0403,64.4,94,0,1.14,ZA,1612592237
52,ribeira grande,38.5167,-28.7,59.43,83,100,16.4,PT,1612592237
53,vaini,-21.2,-175.2,78.8,100,75,4.61,TO,1612592237
54,nizhniy odes,63.6445,54.856,-12.44,89,100,12.53,RU,1612592238
55,talnakh,69.4865,88.3972,-26.73,82,25,5.08,RU,1612592238
56,hermanus,-34.4187,19.2345,66.99,92,3,3.53,ZA,1612591995
57,belmonte,-15.8631,-38.8828,78.8,83,75,10.36,BR,1612592239
58,constitucion,-35.3333,-72.4167,55.85,88,2,1.81,CL,1612592003
59,bilma,18.6853,12.9164,59.07,33,17,7.56,NE,1612592239
60,kahului,20.8947,-156.47,69.8,73,40,3.44,US,1612592239
61,imeni poliny osipenko,52.4201,136.4853,-4.11,90,100,5.39,RU,1612592239
62,saint george,37.1041,-113.5841,46.4,36,1,5.75,US,1612591982
63,dikson,73.5069,80.5464,-29.06,85,64,10.04,RU,1612592240
64,port augusta,-32.5,137.7667,78.01,64,40,20.71,AU,1612592240
65,santa clara,22.4,-79.9667,68.0,94,40,4.61,CU,1612592241
66,innisfail,-17.5333,146.0333,85.12,72,74,9.4,AU,1612592241
67,port elizabeth,-33.918,25.5701,71.6,88,75,8.05,ZA,1612592241
68,tasiilaq,65.6145,-37.6368,24.8,63,20,10.36,GL,1612592241
69,barrow,71.2906,-156.7887,-5.8,77,90,6.91,US,1612592241
70,mawlaik,23.6333,94.4167,87.46,23,0,2.66,MM,1612592234
71,morant bay,17.8815,-76.4093,80.6,74,20,14.97,JM,1612592242
